geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
SH,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74,55,19,1,100,83107,1.2,89.04,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,1.2,NA,NA
SO,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,285,244,41,1,100,277462,0.36,102.72,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,0.36,NA,NA
SZ,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,227,186,41,NA,NA,162157,0,139.99,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-1,-0.62,-100,NA
TG,202142,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,459,354,105,1,100,282909,0.71,162.24,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,0.36,100,0
TI,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,892,808,84,NA,NA,350986,0,254.14,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,NA,NA
UR,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54,37,17,1,100,36819,2.72,146.66,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,1,2.72,NA,NA
VD,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1033,872,161,NA,NA,814762,0,126.79,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-1,-0.12,-100,NA
VS,202142,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,678,582,96,NA,NA,348503,0,194.55,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-1,-0.29,-100,NA
ZG,202142,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,105,81,24,1,100,128794,0.78,81.53,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,0,0,0,0
ZH,202142,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1467,1126,341,1,100,1553423,0.26,94.44,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-42,-1,-0.06,-20,0
AG,202143,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,707,559,0,1,100,694072,0.86,101.86,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,5,0.72,500,0
AI,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,15,0,NA,NA,16293,0,110.48,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,-1,-6.14,-100,NA
AR,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,55,0,NA,NA,55309,0,117.52,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,NA,NA
BE,202143,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1174,927,0,1,100,1043132,0.38,112.55,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,0,0
BL,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,230,198,0,1,100,290969,0.34,79.05,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,1,0.34,NA,NA
BS,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,220,189,0,NA,NA,196735,0,111.83,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,NA,NA
FL,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,53,0,NA,NA,39055,0,148.51,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,NA,NA
FR,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,459,414,0,NA,NA,325496,0,141.02,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,-1,-0.31,-100,NA
GE,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,760,702,0,1,100,506343,0.2,150.1,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,0,0
GL,202143,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,50,0,1,100,40851,4.9,203.18,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,2,4.9,NA,NA
GR,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,199,160,0,1,100,200096,0.5,99.45,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,0,0
JU,202143,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,56,0,NA,NA,73709,0,89.54,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,NA,NA
LU,202143,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,365,279,0,1,100,416347,0.72,87.67,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,1,0.24,50,0
NE,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,360,294,0,1,100,175894,0.57,204.67,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,0,0,0,0
NW,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,17,0,1,100,43520,2.3,62.04,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,1,2.3,NA,NA
OW,202143,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,32,0,1,100,38108,2.62,120.71,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,-3,-7.88,-75,0
SG,202143,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,758,645,0,1,100,514504,1.17,147.33,COVID19Death,,2021-11-03_07-53-32,isoweek,2021-43,1,0.2,20,0
