date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202114,male,unknown,160,1385,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,fully_vaccinated,0,0,82,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,partially_vaccinated,0,0,114,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202114,unknown,unknown,1,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,female,fully_vaccinated,8,37,444614,1.8,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,female,partially_vaccinated,3,40,302878,0.99,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,female,not_vaccinated,119,816,3639896,3.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,female,unknown,82,1242,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,male,fully_vaccinated,9,51,342480,2.63,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,male,partially_vaccinated,6,55,259378,2.31,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,male,not_vaccinated,152,1054,3720109,4.09,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,male,unknown,117,1502,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,unknown,fully_vaccinated,0,0,129,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,unknown,partially_vaccinated,0,0,111,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202115,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,female,fully_vaccinated,2,39,504268,0.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,female,partially_vaccinated,6,46,381633,1.57,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,female,not_vaccinated,109,925,3501487,3.11,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,female,unknown,91,1333,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,male,fully_vaccinated,12,63,393461,3.05,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,male,partially_vaccinated,6,61,331372,1.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,male,not_vaccinated,145,1199,3597134,4.03,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,male,unknown,120,1622,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,unknown,fully_vaccinated,0,0,143,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,unknown,partially_vaccinated,0,0,157,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202116,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,female,fully_vaccinated,10,49,563271,1.78,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,female,partially_vaccinated,5,51,473598,1.06,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,female,not_vaccinated,99,1024,3350519,2.95,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,female,unknown,92,1425,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,male,fully_vaccinated,6,69,442746,1.36,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,male,partially_vaccinated,10,71,418138,2.39,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,male,not_vaccinated,142,1341,3461083,4.1,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,male,unknown,100,1722,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,unknown,fully_vaccinated,0,0,157,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,unknown,partially_vaccinated,0,0,208,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202117,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
202118,female,fully_vaccinated,9,58,636802,1.41,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-03_07-53-32
