date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202106,40 - 49,partially_vaccinated,0,0,18217,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,40 - 49,not_vaccinated,1,2,1181008,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,40 - 49,unknown,1,3,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,50 - 59,fully_vaccinated,0,0,10723,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,50 - 59,partially_vaccinated,0,0,30492,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,50 - 59,not_vaccinated,1,3,1264328,0.08,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,50 - 59,unknown,3,8,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,60 - 69,fully_vaccinated,0,0,9205,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,60 - 69,partially_vaccinated,0,0,33088,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,60 - 69,not_vaccinated,7,15,929984,0.75,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,60 - 69,unknown,6,27,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,70 - 79,fully_vaccinated,0,0,24545,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,70 - 79,partially_vaccinated,1,3,100645,0.99,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,70 - 79,not_vaccinated,12,37,614723,1.95,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,70 - 79,unknown,11,45,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,80+,fully_vaccinated,1,1,40956,2.44,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,80+,partially_vaccinated,9,27,131257,6.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
202106,80+,not_vaccinated,34,104,287685,11.82,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-03_07-53-32
